bookId_RowNum,F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Class
pg30245-66,0.0203,0.1429,0.1020,0.0690,0.0214,0.0283,0.0372,0.0720,0.0357,0.0011,0.0063,0.0069,0.0054,0.1234,0.0350,0.0141,0.2056,0.2229,0.5715,0.7464,0.0328,-0.4235,-1.0000
pg17048-67,0.0194,0.2592,0.2629,0.0904,0.0310,0.0244,0.0439,0.0505,0.0341,0.0012,0.0028,0.0191,0.0083,0.1175,0.0269,0.0137,0.2077,0.2571,0.5353,0.7040,-0.0480,0.0832,-1.0000
pg17047-68,0.0145,0.3749,0.0848,0.0726,0.0232,0.0284,0.0410,0.0536,0.0512,0.0001,0.0027,0.0021,0.0028,0.0995,-0.0599,0.0129,0.2417,0.2504,0.5079,0.7519,0.0286,0.5116,-1.0000
pg19224-69,0.0109,0.2716,0.2386,0.0806,0.0271,0.0286,0.0350,0.0561,0.0395,0.0016,0.0056,0.0007,0.0037,0.0989,0.0111,0.0072,0.1686,0.1882,0.6432,0.7549,-0.0830,-1.0477,-1.0000
pg34428-70,0.0164,0.3017,0.2088,0.0825,0.0294,0.0262,0.0280,0.0569,0.0273,0.0009,0.0098,0.0124,0.0078,0.1080,0.0580,0.0159,0.2502,0.1800,0.5698,0.6657,0.0307,0.7378,-1.0000
pg35517-71,0.0091,0.2032,0.0150,0.0777,0.0187,0.0299,0.0471,0.0678,0.0317,0.0005,0.0099,0.0011,0.0019,0.1265,0.1232,0.0094,0.1842,0.1656,0.6502,0.6434,-0.0394,0.5772,-1.0000
pg22202-72,0.0157,0.3311,0.1658,0.0687,0.0281,0.0244,0.0370,0.0655,0.0434,0.0001,0.0015,0.0030,0.0047,0.1070,-0.0215,0.0214,0.2394,0.1857,0.5750,0.7236,-0.0820,-0.0934,-1.0000
pg21816HermanConfidence-73,0.0159,0.2673,0.0161,0.0597,0.0197,0.0254,0.0290,0.0999,0.0307,0.0018,0.0100,0.0071,0.0056,0.1478,0.0540,0.0180,0.2524,0.1949,0.5526,0.6447,0.0222,0.6657,-1.0000
pg47744-74,0.0183,0.1496,0.3205,0.0685,0.0269,0.0238,0.0334,0.0562,0.0407,0.0002,0.0027,0.0107,0.0065,0.1031,-0.0189,0.0131,0.2045,0.2023,0.5932,0.6428,-0.0044,0.7826,-1.0000
pg8522-75,0.0209,0.3381,0.1828,0.0903,0.0263,0.0254,0.0281,0.0481,0.0447,0.0006,0.0062,0.0019,0.0042,0.0848,-0.0214,0.0205,0.2296,0.2392,0.5311,0.6971,-0.0214,0.1908,-1.0000
pg6105-76,0.0096,0.3930,0.2746,0.0519,0.0289,0.0286,0.0372,0.0635,0.0351,0.0021,0.0059,0.0108,0.0014,0.1195,0.0780,0.0028,0.1657,0.2114,0.6229,0.7059,-0.1234,-0.8760,-1.0000
pg29071-77,0.0178,0.2644,0.1050,0.0551,0.0241,0.0289,0.0458,0.0504,0.0381,0.0012,0.0082,0.0009,0.0019,0.1066,0.0529,0.0093,0.1890,0.1805,0.6305,0.6318,0.1348,0.0732,-1.0000
pg20018-78,0.0107,0.2949,0.1817,0.0669,0.0375,0.0254,0.0368,0.0703,0.0266,0.0005,0.0041,0.0102,0.0029,0.1219,0.1714,0.0109,0.1731,0.3202,0.5066,0.5756,0.0233,0.2448,-1.0000
pg6102-79,0.0193,0.2258,0.2065,0.0774,0.0259,0.0231,0.0398,0.0684,0.0395,0.0008,0.0042,0.0030,0.0031,0.1163,0.0160,0.0177,0.1672,0.2610,0.5718,0.6931,-0.0480,0.1025,-1.0000
pg30075-80,0.0309,0.1637,0.1337,0.0949,0.0200,0.0251,0.0327,0.0551,0.0503,0.0007,0.0006,0.0000,0.0068,0.0891,-0.0696,0.0323,0.2698,0.2218,0.5085,0.7363,-0.0915,0.1965,-1.0000
pg12886-81,0.0250,0.3069,0.1746,0.0938,0.0252,0.0212,0.0278,0.0654,0.0465,0.0007,0.0103,0.0040,0.0047,0.1082,-0.0469,0.0249,0.2146,0.2931,0.4924,0.7435,-0.0830,-0.6735,-1.0000
pg35523-82,0.0312,0.2663,0.1737,0.0845,0.0252,0.0237,0.0380,0.0715,0.0473,0.0008,0.0069,0.0111,0.0095,0.1284,-0.0766,0.0259,0.2904,0.2396,0.4700,0.7926,-0.0235,-0.5562,-1.0000
pg35765-83,0.0151,0.1266,0.2803,0.0758,0.0338,0.0228,0.0352,0.0502,0.0313,0.0009,0.0062,0.0026,0.0128,0.0950,-0.0150,0.0174,0.2487,0.2186,0.5327,0.7331,0.0062,-0.0630,-1.0000
