39565,"In Purpurner Finsterniß
Roman-Improvisation aus dem dreißigsten Jahrhundert",de,"Conrad, M. G. (Michael Georg)","Conrad, M. G. (Michael Georg)"
39616,"In the Hands of the Malays, and Other Stories",en,"Henty, G. A. (George Alfred)","Henty, G. A. (George Alfred)"
39616,In the Hands of the Malays- and Other Stories,en,Henty| G. A.,Henty| G. A.
39623,Der Held unserer Zeit: Kaukasische Lebensbilder,de,"Boltz, August","Boltz, August"
39650,Das heilige Donnerwetter. Ein Blücherroman,de,"Paul, Adolf","Paul, Adolf"
39660,Sylvia & Michael: The later adventures of Sylvia Scarlett,en,MacKenzie| Compton,MacKenzie| Compton
39667,Vier Jahre Politischer Mord,de,"Gumbel, Emil Julius","Gumbel, Emil Julius"
39678,In Dingsda,de,"Schlaf, Johannes","Schlaf, Johannes"
39692,Mildred Arkell: A Novel. Vol. 1 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
39693,Mildred Arkell: A Novel. Vol. 3 (of 3),en,Wood| Mrs. Henry,Wood| Mrs. Henry
39707,Mr. Punch's Life in London,en,"Hammerton, John Alexander, Sir","Hammerton, John Alexander, Sir"
39731,The Marriage of Esther,en,Boothby| Guy,Boothby| Guy
39748,Four Winds Farm,en,"Crane, Walter","Crane, Walter"
39755,"The Story of Peter Pan, Retold from the fairy play by Sir James Barrie",en,"Barrie, J. M. (James Matthew)","Barrie, J. M. (James Matthew)"
39768,Vassall Morton: A Novel,en,Parkman| Francis,Parkman| Francis
39813,A Sovereign Remedy,en,Steel| Flora Annie Webster,Steel| Flora Annie Webster
39826,The Trial of Callista Blake,en,"Pangborn, Edgar","Pangborn, Edgar"
39896,The Girl Next Door,en,"Relyea, C. M. (Charles M.)","Relyea, C. M. (Charles M.)"
39900,The Slipper Point Mystery,en,"Relyea, C. M. (Charles M.)","Relyea, C. M. (Charles M.)"
39905,Upsidonia,en,Marshall| Archibald,Marshall| Archibald
39919,Petersburg,de,"Bely, Andrey","Bely, Andrey"
39940,Ashton-Kirk- Secret Agent,en,McIntyre| John Thomas,McIntyre| John Thomas
39968,Lancashire Humour,en,"Newbigging, Thomas","Newbigging, Thomas"
40027,"The Scarecrow, and Other Stories",en,"Wormser, G. Ranger (Gwendolyn Ranger)","Wormser, G. Ranger (Gwendolyn Ranger)"
40056,Yule Logs: Longmans' Christmas Annual for 1898,en,"Henty, G. A. (George Alfred)","Henty, G. A. (George Alfred)"
40111,In Silk Attire: A Novel,en,Black| William,Black| William
40114,Fashion and Famine,en,Stephens| Ann S.,Stephens| Ann S.
40145,"The Foolish Almanak for Anuthur Year
The Furst Cinc the Introdukshun ov the Muk-rake in Magazeen Gardning, and the Speling Reform ov Owr Langwij by Theodor Rosyfelt",en,"Goldsmith, Wallace","Goldsmith, Wallace"
40165,Die Versuchung: Ein Gespräch des Dichters mit dem Erzengel und Luzifer,de,"Werfel, Franz","Werfel, Franz"
40180,A Woman's Love,en,Opie| Amelia,Opie| Amelia
