bid;bname;blang;auth_name;sub
32757;"Tried for Her Life - A Sequel to ""Cruel As the Grave""";en;Southworth| Emma Dorothy Eliza Nevitte;Literary
32814;Sekunde durch Hirn: Ein unheimlich schnell rotierender Roman;de;Vischer, Melchior;Literature
33017;Amerikanische Wald- und Strombilder. Erster Band.;de;Gerstäcker, Friedrich;Fiction
33019;The Green God;en;Kummer| Frederic Arnold;Detective and Mystery
33041;Unsichtbare Bande: Erzählungen;de;Franzos, Marie;Fiction
33064;The Blind Man's Eyes;en;Balmer, Edwin;Detective and mystery 
33065;The Indian Drum;en;Balmer, Edwin;Detective and mystery 
33081;Sir Jasper Carew: His Life and Experience;en;Lever| Charles James;Literary
33090;Ein Kampf um Rom: Historischer Roman. Zweiter Band;de;Dahn, Felix;History
33099;The Truth About Tristrem Varick: A Novel;en;Saltus| Edgar;Literary
33195;Was It Right to Forgive? A Domestic Romance;en;Barr| Amelia E.;Literary
33312;Faith and Unfaith: A Novel;en;Duchess|;Literary
33326;Die Amazone;de;Edschmid, Kasimir;Fiction
33328;Flaubert und die Herkunft des modernen Romans;de;Mann, Heinrich;History
33329;Der Vater;de;Mann, Heinrich;Fiction
33391;Bill Nye's Cordwood;en;Nye, Bill;wit and humor
33401;The Little Schoolmaster Mark: A Spiritual Romance;en;Davis| Richard Harding;Literary
33418;Die Entwicklung des Berliner Flaschenbiergeschäfts;de;Stresemann, Gustav;History
33423;A Man in the Open;en;Pocock| Roger;Literary
33468;Roland Cashel- Volume I (of II);en;Lever| Charles James;Literary
33469;Roland Cashel- Volume II (of II);en;Lever| Charles James;Literary
33482;The Furnace;en;Macaulay| Rose;Literary
33490;The Gambler: A Novel;en;Thurston| Katherine Cecil;Literary
33498;Bransford of Rainbow Range - Originally Published under the title of Bransford in Arcadia- The Little Eohippus;en;Rhodes| Eugene Manlove;Western Stories
33556;The Fortunes Of Glencore;en;Lever| Charles James;Literary
33565;The Bachelors: A Novel;en;Orcutt| William Dana;Literary
33603;Eros und die Evangelien, aus den Notizen eines Vagabunden;de;Bonsels, Waldemar;Fiction
33604;Tony Butler;en;Lever| Charles James;Literary
33664;Norine's Revenge- and- Sir Noel's Heir;en;Fleming| May Agnes;Literary
33688;Tales of the Wonder Club, Volume I;en;Halidom, M. Y.;Horror
33695;X Y Z: A Detective Story;en;Green| Anna Katharine;Detective and Mystery
33715;The Cottage of Delight: A Novel;en;Harben| Will N.;Literary
33726;Die hauptsächlichsten Theorien der Geometrie;de;Loria, Gino;History
33747;An Engagement of Convenience: A Novel;en;Zangwill| Louis;Literary
33759;The Key to Yesterday;en;Buck| Charles Neville;Literary
33770;Impertinent Poems;en;Ross, Gordon;wit and humor
33780;The Haunted Pajamas;en;Elliott| Francis Perry;Literary
33853;Jessica Trent: Her Life on a Ranch;en;Raymond, Evelyn;Detective and mystery 
33867;King of Camargue;en;Aicard| Jean;Literary
33878;At the Ghost Hour. The House of the Unbelieving Thomas;en;Heyse, Paul;Horror
33892;Regina- or the Sins of the Fathers;en;Sudermann| Hermann;Literary
33907;One-Act Plays by Modern Authors;en;Cohen, Helen Louise;Drama
33909;The School by the Sea;en;Brazil, Angela;Detective and mystery 
33918;Mr. Punch with the Children;en;Hammerton, John Alexander, Sir;wit and humor
33945;The Unknown Sea;en;Housman| Clemence;Allegories
4397;The Forsyte Saga;en;Galsworthy| John;Literary
4765;Loyalties (Plays);en;Galsworthy| John;Literary
34970;Pierre or The Ambiguities;en;Melville| Herman;Literary
5323;Effi Briest;de;Fontane, Theodor;Fiction
4079;Agnes Bernauer;de;Hebbel, Friedrich;Drama
5322;Woyzeck;de;Büchner, Georg;Drama
6004;Helden;de;Shaw, Bernard;Drama
6421;Angela Borgia;de;Meyer, Conrad Ferdinand;History
6651;Immensee;de;Storm, Theodor;Fiction
7068;Das Haidedorf;de;Stifter, Adalbert;Fiction
8921;Waldwinkel;de;Storm, Theodor;Fiction
8922;Viola Tricolor;de;Storm, Theodor;Fiction
13810;Tristan;de;Mann, Thomas;Fiction
19778;Alice's Abenteuer im Wunderland;de;Carroll, Lewis;Fantasy
19790;Der Schimmelreiter;de;Storm, Theodor;History
19791;Der Struwwelpeter;de;Hoffmann, Heinrich;Literature
19971;Hansi;de;Frohnmeyer, Ida;Literature
21115;"Die Stufe
Fragment einer Liebe";de;Mann, Franziska;Romance
24266;Das Schönste von Max Dauthendey;de;Dauthendey, Max;Romance
25530;Die Nymphe des Brunnens;de;Fraungruber, Hans;Fantasy
28863;Der Dichter und das Phantasieren;de;Freud, Sigmund;Fantasy
18551;Der Wendekreis - Erste Folge: Novellen;de;Wassermann, Jakob;Fiction
18552;Der Wendekreis - Zweite Folge : Oberlins drei Stufen, Sturreganz;de;Wassermann, Jakob;Fiction
24213;"Marthe und ihre Uhr
Novelle";de;Storm, Theodor;Fiction
24214;"Im Brauerhause
Novelle";de;Storm, Theodor;Fiction
46488;Emilia Gal;de;Blom,E.J.;Tragedies
2407;Die Leiden des jungen Werthers - 1;de;;
2408;Die Leiden des jungen Werthers - 2;de;;
5072;Dantons Tod;de;;
6079;Deutschland Ein Wintermarchen;de;;
6498;Kabale unde Liebe;de;;
47804;Die Rauber;de;;












